 ,Alg1_Vec,Alg1_For,Alg3_For,Alg3_ParFor@2,Alg3_ParFor@3,Alg3_ParFor@4,,,,,,,,
Digits #: 10,,,,,,,,Digits #:,Alg1_Vec,Alg1_For,Alg3_For,Alg3_ParFor@2,Alg3_ParFor@3,Alg3_ParFor@4
1,0.000020,0.000006,0.000008,0.023289,0.023133,0.016769,,10,0.000020,0.000006,0.000008,0.020736,0.018752,0.023409
2,0.000015,0.000005,0.000006,0.020643,0.024619,0.024494,,100,0.000024,0.000009,0.000015,0.025077,0.028672,0.033272
3,0.000016,0.000005,0.000008,0.021558,0.029980,0.029384,,"1,000",0.000103,0.000037,0.000048,0.026106,0.030572,0.039734
4,0.000016,0.000005,0.000008,0.021368,0.024220,0.017788,,"10,000",0.000360,0.000316,0.000374,0.024352,0.026412,0.031730
5,0.000015,0.000005,0.000005,0.020796,0.016065,0.025200,,"100,000",0.002186,0.003078,0.003361,0.026688,0.030202,0.035914
6,0.000017,0.000005,0.000007,0.018906,0.015858,0.012557,,"1,000,000",0.017113,0.030073,0.035132,0.057064,0.056374,0.055187
7,0.000015,0.000003,0.000006,0.033468,0.017530,0.016194,,"10,000,000",0.192160,0.310434,0.364965,0.433433,0.367443,0.346286
8,0.000013,0.000004,0.000007,0.019440,0.021953,0.025521,,"100,000,000",2.117437,3.049672,3.532943,3.991117,3.272549,3.100723
9,0.000018,0.000005,0.000009,0.021506,0.015189,0.024157,,Avg:,0.291175,0.424203,0.492106,0.575572,0.478872,0.458282
10,0.000031,0.000005,0.000006,0.020340,0.016151,0.016768,,,,,,,,
11,0.000015,0.000005,0.000007,0.019391,0.014188,0.015100,,,,,,,,
12,0.000018,0.000006,0.000007,0.018552,0.015327,0.025675,,,,,,,,
13,0.000018,0.000006,0.000008,0.019427,0.015085,0.023578,,,,,,,,
14,0.000015,0.000005,0.000008,0.019611,0.027501,0.024864,,,,,,,,
15,0.000090,0.000029,0.000039,0.018950,0.015015,0.023364,,,,,,,,
16,0.000016,0.000006,0.000008,0.018427,0.014224,0.024092,,,,,,,,
17,0.000022,0.000010,0.000016,0.030190,0.014136,0.016688,,,,,,,,
18,0.000024,0.000005,0.000007,0.021290,0.032663,0.023770,,,,,,,,
19,0.000015,0.000005,0.000008,0.019175,0.015185,0.017411,,,,,,,,
20,0.000019,0.000008,0.000009,0.018212,0.015980,0.025989,,,,,,,,
21,0.000017,0.000005,0.000008,0.022852,0.016063,0.024670,,,,,,,,
22,0.000016,0.000006,0.000008,0.020374,0.016004,0.025638,,,,,,,,
23,0.000018,0.000006,0.000008,0.019133,0.016012,0.016956,,,,,,,,
24,0.000020,0.000006,0.000008,0.019582,0.022174,0.024248,,,,,,,,
25,0.000016,0.000005,0.000008,0.019568,0.016779,0.025097,,,,,,,,
26,0.000016,0.000005,0.000008,0.021718,0.024472,0.025440,,,,,,,,
27,0.000015,0.000004,0.000008,0.018825,0.023853,0.016190,,,,,,,,
28,0.000017,0.000006,0.000009,0.019235,0.015704,0.025242,,,,,,,,
29,0.000017,0.000005,0.000007,0.018121,0.016007,0.025463,,,,,,,,
30,0.000076,0.000030,0.000006,0.020998,0.013253,0.024384,,,,,,,,
31,0.000024,0.000006,0.000007,0.021411,0.025042,0.016282,,,,,,,,
32,0.000015,0.000004,0.000007,0.019302,0.023020,0.016668,,,,,,,,
33,0.000014,0.000004,0.000007,0.020924,0.017198,0.025050,,,,,,,,
34,0.000025,0.000005,0.000008,0.023309,0.016305,0.025184,,,,,,,,
35,0.000018,0.000005,0.000009,0.021494,0.015621,0.029054,,,,,,,,
36,0.000016,0.000005,0.000008,0.019929,0.016621,0.022270,,,,,,,,
37,0.000016,0.000005,0.000006,0.020105,0.016669,0.024114,,,,,,,,
38,0.000018,0.000005,0.000008,0.020674,0.025706,0.027314,,,,,,,,
39,0.000016,0.000006,0.000008,0.019990,0.014786,0.024465,,,,,,,,
40,0.000018,0.000006,0.000008,0.019061,0.022396,0.017667,,,,,,,,
41,0.000015,0.000005,0.000005,0.023601,0.016900,0.026179,,,,,,,,
42,0.000016,0.000005,0.000008,0.021031,0.016331,0.025136,,,,,,,,
43,0.000016,0.000005,0.000007,0.018683,0.016703,0.028031,,,,,,,,
44,0.000017,0.000005,0.000008,0.019062,0.015492,0.016966,,,,,,,,
45,0.000019,0.000005,0.000009,0.024473,0.025779,0.022733,,,,,,,,
46,0.000015,0.000006,0.000006,0.022458,0.014941,0.026244,,,,,,,,
47,0.000015,0.000005,0.000006,0.022568,0.022158,0.018363,,,,,,,,
48,0.000017,0.000005,0.000007,0.018962,0.014483,0.024331,,,,,,,,
49,0.000016,0.000005,0.000008,0.020176,0.017755,0.025333,,,,,,,,
50,0.000022,0.000005,0.000008,0.018596,0.016484,0.017415,,,,,,,,
51,0.000016,0.000005,0.000005,0.021163,0.015364,0.023566,,,,,,,,
52,0.000016,0.000006,0.000006,0.019641,0.016171,0.015905,,,,,,,,
53,0.000014,0.000004,0.000006,0.018724,0.016840,0.017617,,,,,,,,
54,0.000017,0.000005,0.000007,0.019421,0.014923,0.016910,,,,,,,,
55,0.000017,0.000005,0.000008,0.019522,0.023178,0.024132,,,,,,,,
56,0.000018,0.000005,0.000008,0.021115,0.013679,0.015983,,,,,,,,
57,0.000016,0.000008,0.000007,0.022597,0.025652,0.025072,,,,,,,,
58,0.000017,0.000005,0.000008,0.020433,0.016084,0.025426,,,,,,,,
59,0.000017,0.000005,0.000008,0.021698,0.017033,0.025891,,,,,,,,
60,0.000016,0.000005,0.000008,0.024011,0.016908,0.026426,,,,,,,,
61,0.000016,0.000005,0.000008,0.021897,0.023221,0.025330,,,,,,,,
62,0.000019,0.000014,0.000007,0.021859,0.016193,0.016451,,,,,,,,
63,0.000019,0.000006,0.000010,0.019271,0.024753,0.033649,,,,,,,,
64,0.000017,0.000005,0.000007,0.021867,0.016830,0.027633,,,,,,,,
65,0.000016,0.000005,0.000009,0.020220,0.014871,0.024608,,,,,,,,
66,0.000018,0.000006,0.000009,0.021720,0.015158,0.017302,,,,,,,,
67,0.000016,0.000005,0.000008,0.021136,0.016386,0.017626,,,,,,,,
68,0.000014,0.000004,0.000007,0.014378,0.025081,0.025430,,,,,,,,
69,0.000016,0.000005,0.000007,0.020429,0.016705,0.025127,,,,,,,,
70,0.000016,0.000006,0.000006,0.020549,0.041622,0.022320,,,,,,,,
71,0.000016,0.000005,0.000006,0.021145,0.016375,0.026217,,,,,,,,
72,0.000017,0.000005,0.000007,0.021357,0.016056,0.016753,,,,,,,,
73,0.000016,0.000005,0.000007,0.020598,0.025437,0.025111,,,,,,,,
74,0.000017,0.000006,0.000007,0.019984,0.016729,0.019542,,,,,,,,
75,0.000019,0.000006,0.000009,0.018833,0.016529,0.027360,,,,,,,,
76,0.000015,0.000005,0.000008,0.021427,0.016567,0.026091,,,,,,,,
77,0.000014,0.000006,0.000008,0.021051,0.015837,0.025774,,,,,,,,
78,0.000016,0.000006,0.000007,0.020848,0.015211,0.025889,,,,,,,,
79,0.000015,0.000005,0.000007,0.020431,0.038386,0.040837,,,,,,,,
80,0.000019,0.000006,0.000008,0.021117,0.018331,0.051482,,,,,,,,
81,0.000018,0.000005,0.000008,0.020083,0.018369,0.024492,,,,,,,,
82,0.000018,0.000005,0.000009,0.023817,0.015747,0.024145,,,,,,,,
83,0.000024,0.000005,0.000006,0.020480,0.024214,0.026315,,,,,,,,
84,0.000017,0.000005,0.000008,0.020941,0.017995,0.023507,,,,,,,,
85,0.000016,0.000005,0.000006,0.021910,0.015728,0.025424,,,,,,,,
86,0.000019,0.000006,0.000008,0.019735,0.016220,0.026274,,,,,,,,
87,0.000016,0.000005,0.000007,0.020420,0.021653,0.024903,,,,,,,,
88,0.000017,0.000005,0.000007,0.021035,0.016063,0.018208,,,,,,,,
89,0.000082,0.000026,0.000043,0.018902,0.019075,0.023154,,,,,,,,
90,0.000016,0.000005,0.000008,0.020246,0.015125,0.025493,,,,,,,,
91,0.000017,0.000005,0.000008,0.021401,0.017215,0.017537,,,,,,,,
92,0.000016,0.000005,0.000008,0.020285,0.023745,0.025923,,,,,,,,
93,0.000015,0.000004,0.000007,0.019542,0.016082,0.025968,,,,,,,,
94,0.000016,0.000005,0.000008,0.021350,0.016782,0.025120,,,,,,,,
95,0.000018,0.000005,0.000008,0.021553,0.016474,0.024429,,,,,,,,
96,0.000086,0.000005,0.000008,0.019946,0.015810,0.018070,,,,,,,,
97,0.000019,0.000007,0.000009,0.020920,0.024515,0.025978,,,,,,,,
98,0.000016,0.000004,0.000008,0.020156,0.016228,0.026039,,,,,,,,
99,0.000016,0.000005,0.000007,0.020222,0.015834,0.025064,,,,,,,,
100,0.000016,0.000005,0.000008,0.021458,0.015518,0.025895,,,,,,,,
Avg:,0.000020,0.000006,0.000008,0.020736,0.018752,0.023409,,,,,,,,
Digits #: 100,,,,,,,,,,,,,,
1,0.000019,0.000007,0.000014,0.025473,0.029342,0.030796,,,,,,,,
2,0.000018,0.000007,0.000013,0.023765,0.021979,0.032618,,,,,,,,
3,0.000022,0.000009,0.000013,0.023483,0.030919,0.024574,,,,,,,,
4,0.000027,0.000008,0.000012,0.024332,0.023261,0.030737,,,,,,,,
5,0.000019,0.000010,0.000012,0.022785,0.029070,0.024517,,,,,,,,
6,0.000019,0.000007,0.000012,0.024587,0.023174,0.033778,,,,,,,,
7,0.000023,0.000008,0.000014,0.020806,0.024243,0.037651,,,,,,,,
8,0.000052,0.000012,0.000015,0.023328,0.022052,0.024517,,,,,,,,
9,0.000019,0.000008,0.000015,0.025602,0.022678,0.031963,,,,,,,,
10,0.000059,0.000008,0.000014,0.022679,0.025276,0.023611,,,,,,,,
11,0.000018,0.000007,0.000013,0.022430,0.022625,0.024071,,,,,,,,
12,0.000020,0.000009,0.000013,0.023210,0.022757,0.031889,,,,,,,,
13,0.000018,0.000012,0.000013,0.022735,0.028016,0.024255,,,,,,,,
14,0.000028,0.000007,0.000013,0.022531,0.028889,0.030763,,,,,,,,
15,0.000036,0.000014,0.000015,0.024259,0.023005,0.031955,,,,,,,,
16,0.000018,0.000008,0.000016,0.023687,0.023741,0.031581,,,,,,,,
17,0.000018,0.000008,0.000013,0.023878,0.022840,0.031390,,,,,,,,
18,0.000025,0.000012,0.000015,0.023801,0.025978,0.036859,,,,,,,,
19,0.000026,0.000011,0.000017,0.022419,0.022524,0.032791,,,,,,,,
20,0.000019,0.000008,0.000012,0.024378,0.024732,0.032855,,,,,,,,
21,0.000021,0.000009,0.000014,0.024793,0.028754,0.034031,,,,,,,,
22,0.000019,0.000008,0.000014,0.023473,0.022866,0.032072,,,,,,,,
23,0.000023,0.000009,0.000016,0.024419,0.021897,0.032528,,,,,,,,
24,0.000019,0.000008,0.000013,0.022853,0.025555,0.031639,,,,,,,,
25,0.000031,0.000012,0.000012,0.023317,0.023928,0.024749,,,,,,,,
26,0.000019,0.000007,0.000011,0.022914,0.029866,0.027609,,,,,,,,
27,0.000020,0.000008,0.000014,0.024648,0.029469,0.027639,,,,,,,,
28,0.000018,0.000007,0.000012,0.023995,0.027700,0.027873,,,,,,,,
29,0.000023,0.000009,0.000014,0.024915,0.024232,0.034472,,,,,,,,
30,0.000024,0.000018,0.000013,0.023804,0.024213,0.032959,,,,,,,,
31,0.000023,0.000009,0.000016,0.024279,0.027142,0.033387,,,,,,,,
32,0.000021,0.000009,0.000013,0.021337,0.020640,0.029898,,,,,,,,
33,0.000022,0.000008,0.000013,0.025773,0.021323,0.021830,,,,,,,,
34,0.000020,0.000008,0.000013,0.022263,0.021511,0.021657,,,,,,,,
35,0.000021,0.000008,0.000013,0.020383,0.024158,0.050863,,,,,,,,
36,0.000088,0.000023,0.000049,0.033941,0.044258,0.053400,,,,,,,,
37,0.000021,0.000008,0.000013,0.035313,0.054858,0.035566,,,,,,,,
38,0.000019,0.000008,0.000013,0.031416,0.039024,0.029630,,,,,,,,
39,0.000019,0.000008,0.000013,0.022906,0.021222,0.030005,,,,,,,,
40,0.000020,0.000007,0.000013,0.021364,0.026419,0.019899,,,,,,,,
41,0.000019,0.000017,0.000013,0.037111,0.063163,0.033286,,,,,,,,
42,0.000019,0.000008,0.000018,0.034767,0.023025,0.029134,,,,,,,,
43,0.000032,0.000012,0.000015,0.020984,0.029495,0.030472,,,,,,,,
44,0.000020,0.000008,0.000013,0.032776,0.028613,0.027993,,,,,,,,
45,0.000019,0.000008,0.000014,0.019461,0.017749,0.027733,,,,,,,,
46,0.000020,0.000007,0.000012,0.020373,0.018978,0.027425,,,,,,,,
47,0.000018,0.000006,0.000012,0.021065,0.020182,0.026458,,,,,,,,
48,0.000018,0.000008,0.000012,0.020448,0.018611,0.027118,,,,,,,,
49,0.000018,0.000007,0.000012,0.021933,0.026483,0.026716,,,,,,,,
50,0.000019,0.000007,0.000013,0.019612,0.043863,0.029952,,,,,,,,
51,0.000021,0.000008,0.000014,0.021859,0.054120,0.026514,,,,,,,,
52,0.000064,0.000023,0.000043,0.022333,0.045059,0.033311,,,,,,,,
53,0.000021,0.000008,0.000013,0.016221,0.052254,0.023813,,,,,,,,
54,0.000020,0.000008,0.000013,0.022756,0.020104,0.026843,,,,,,,,
55,0.000017,0.000007,0.000013,0.020312,0.023244,0.050222,,,,,,,,
56,0.000021,0.000008,0.000013,0.023934,0.030619,0.037042,,,,,,,,
57,0.000022,0.000009,0.000012,0.025064,0.056977,0.030908,,,,,,,,
58,0.000021,0.000008,0.000017,0.022770,0.020165,0.046838,,,,,,,,
59,0.000019,0.000008,0.000012,0.025614,0.020370,0.021413,,,,,,,,
60,0.000018,0.000008,0.000012,0.021143,0.023391,0.024455,,,,,,,,
61,0.000039,0.000011,0.000015,0.020097,0.029094,0.028471,,,,,,,,
62,0.000019,0.000007,0.000018,0.058098,0.032856,0.027487,,,,,,,,
63,0.000019,0.000007,0.000011,0.028029,0.028778,0.029799,,,,,,,,
64,0.000022,0.000008,0.000013,0.021742,0.022054,0.044442,,,,,,,,
65,0.000019,0.000008,0.000013,0.045995,0.032348,0.031211,,,,,,,,
66,0.000032,0.000012,0.000023,0.024260,0.030641,0.034440,,,,,,,,
67,0.000049,0.000023,0.000060,0.023513,0.026943,0.033661,,,,,,,,
68,0.000021,0.000008,0.000018,0.024124,0.024834,0.031611,,,,,,,,
69,0.000040,0.000012,0.000055,0.026974,0.036399,0.034565,,,,,,,,
